feature_name	class	n_features_in_class	n_bins	mutual_information_bits	class_cost_ns	class_share_cost_ns	ig_per_class_ns	rank_overall	rank_in_class
script_latin_flag	script	20	2	0.073552	78.02	3.90	4.052562e-3	64	4
script_cjk_flag	script	20	2	0.080362	78.02	3.90	4.052562e-3	57	1
script_cyrillic_flag	script	20	2	0.000010	78.02	3.90	4.052562e-3	364	11
script_arabic_flag	script	20	2	0.000060	78.02	3.90	4.052562e-3	344	9
script_devanagari_flag	script	20	2	0.000164	78.02	3.90	4.052562e-3	325	7
script_hangul_flag	script	20	1	0.000000	78.02	3.90	4.052562e-3	366	13
script_thai_flag	script	20	1	0.000000	78.02	3.90	4.052562e-3	367	14
script_hebrew_flag	script	20	1	0.000000	78.02	3.90	4.052562e-3	368	15
script_greek_flag	script	20	1	0.000000	78.02	3.90	4.052562e-3	369	16
script_latin_ratio	script	20	2	0.076069	78.02	3.90	4.052562e-3	63	3
script_cjk_ratio	script	20	2	0.077202	78.02	3.90	4.052562e-3	61	2
script_cyrillic_ratio	script	20	2	0.000009	78.02	3.90	4.052562e-3	365	12
script_arabic_ratio	script	20	2	0.000049	78.02	3.90	4.052562e-3	348	10
script_devanagari_ratio	script	20	2	0.000109	78.02	3.90	4.052562e-3	333	8
script_hangul_ratio	script	20	1	0.000000	78.02	3.90	4.052562e-3	370	17
script_thai_ratio	script	20	1	0.000000	78.02	3.90	4.052562e-3	371	18
script_hebrew_ratio	script	20	1	0.000000	78.02	3.90	4.052562e-3	372	19
script_greek_ratio	script	20	1	0.000000	78.02	3.90	4.052562e-3	373	20
script_mixed_flag	script	20	2	0.003854	78.02	3.90	4.052562e-3	225	6
script_distinct_count	script	20	10	0.004748	78.02	3.90	4.052562e-3	220	5
digit_total_count	digit	15	10	0.154066	124.46	8.30	3.008179e-2	35	7
digit_longest_run	digit	15	10	1.100173	124.46	8.30	3.008179e-2	1	1
digit_run_2	digit	15	10	0.019657	124.46	8.30	3.008179e-2	147	12
digit_run_3	digit	15	10	0.020014	124.46	8.30	3.008179e-2	145	11
digit_run_4	digit	15	10	0.509122	124.46	8.30	3.008179e-2	2	2
digit_run_5	digit	15	10	0.473794	124.46	8.30	3.008179e-2	4	4
digit_run_6	digit	15	10	0.234853	124.46	8.30	3.008179e-2	20	6
digit_run_7p	digit	15	2	0.004813	124.46	8.30	3.008179e-2	218	14
digit_has_4	digit	15	2	0.505977	124.46	8.30	3.008179e-2	3	3
digit_has_5	digit	15	2	0.461041	124.46	8.30	3.008179e-2	6	5
digit_has_7	digit	15	2	0.004811	124.46	8.30	3.008179e-2	219	15
digit_block_dash	digit	15	10	0.027623	124.46	8.30	3.008179e-2	124	10
digit_block_slash	digit	15	10	0.014608	124.46	8.30	3.008179e-2	162	13
digit_block_space	digit	15	10	0.115796	124.46	8.30	3.008179e-2	47	8
digit_token_count	digit	15	10	0.097665	124.46	8.30	3.008179e-2	50	9
punct_comma	punct	10	10	0.040897	134.27	13.43	4.821256e-3	112	5
punct_period	punct	10	10	0.034644	134.27	13.43	4.821256e-3	117	6
punct_hyphen	punct	10	10	0.043340	134.27	13.43	4.821256e-3	103	4
punct_cjk	punct	10	10	0.001490	134.27	13.43	4.821256e-3	258	9
punct_rtl	punct	10	1	0.000000	134.27	13.43	4.821256e-3	374	10
case_title_ratio	punct	10	2	0.020547	134.27	13.43	4.821256e-3	141	7
case_allcaps_ratio	punct	10	2	0.007979	134.27	13.43	4.821256e-3	195	8
case_nocase_ratio	punct	10	2	0.077306	134.27	13.43	4.821256e-3	60	3
diacritic_present	punct	10	2	0.208772	134.27	13.43	4.821256e-3	25	2
diacritic_count	punct	10	10	0.212383	134.27	13.43	4.821256e-3	24	1
len_bytes	length	5	10	0.078161	54.28	10.86	6.722118e-3	59	3
len_chars	length	5	10	0.083563	54.28	10.86	6.722118e-3	53	2
len_tokens	length	5	10	0.140906	54.28	10.86	6.722118e-3	38	1
len_avg_token	length	5	10	0.060307	54.28	10.86	6.722118e-3	75	4
len_max_token	length	5	10	0.001908	54.28	10.86	6.722118e-3	246	5
postcode_at	postcode	15	2	0.460693	1670.13	111.34	3.083585e-3	7	2
postcode_au	postcode	15	2	0.463868	1670.13	111.34	3.083585e-3	5	1
postcode_be	postcode	15	2	0.460693	1670.13	111.34	3.083585e-3	8	3
postcode_br	postcode	15	2	0.037638	1670.13	111.34	3.083585e-3	116	15
postcode_ch	postcode	15	2	0.460693	1670.13	111.34	3.083585e-3	9	4
postcode_de	postcode	15	2	0.449469	1670.13	111.34	3.083585e-3	11	6
postcode_es	postcode	15	2	0.323386	1670.13	111.34	3.083585e-3	15	10
postcode_fr	postcode	15	2	0.449469	1670.13	111.34	3.083585e-3	12	7
postcode_gb	postcode	15	2	0.126885	1670.13	111.34	3.083585e-3	42	13
postcode_in	postcode	15	2	0.229956	1670.13	111.34	3.083585e-3	23	12
postcode_it	postcode	15	2	0.449469	1670.13	111.34	3.083585e-3	13	8
postcode_jp	postcode	15	2	0.052243	1670.13	111.34	3.083585e-3	86	14
postcode_lu	postcode	15	2	0.460693	1670.13	111.34	3.083585e-3	10	5
postcode_nl	postcode	15	2	0.275361	1670.13	111.34	3.083585e-3	17	11
postcode_us	postcode	15	2	0.449469	1670.13	111.34	3.083585e-3	14	9
marker__act	marker	226	2	0.000265	58.87	0.26	5.037852e-2	309	159
marker__ca_	marker	226	2	0.000042	58.87	0.26	5.037852e-2	352	198
marker__dc	marker	226	2	0.000045	58.87	0.26	5.037852e-2	350	196
marker__fl_	marker	226	1	0.000000	58.87	0.26	5.037852e-2	375	210
marker__ma_	marker	226	2	0.000015	58.87	0.26	5.037852e-2	362	208
marker__nsw	marker	226	1	0.000000	58.87	0.26	5.037852e-2	376	211
marker__nt_	marker	226	1	0.000000	58.87	0.26	5.037852e-2	377	212
marker__nw	marker	226	2	0.000613	58.87	0.26	5.037852e-2	289	139
marker__ny_	marker	226	2	0.000011	58.87	0.26	5.037852e-2	363	209
marker__qld	marker	226	1	0.000000	58.87	0.26	5.037852e-2	378	213
marker__sa_	marker	226	2	0.000665	58.87	0.26	5.037852e-2	284	134
marker__se	marker	226	2	0.006483	58.87	0.26	5.037852e-2	206	63
marker__tas	marker	226	2	0.000529	58.87	0.26	5.037852e-2	295	145
marker__tx_	marker	226	1	0.000000	58.87	0.26	5.037852e-2	379	214
marker__vic	marker	226	2	0.002805	58.87	0.26	5.037852e-2	234	87
marker__wa_	marker	226	1	0.000000	58.87	0.26	5.037852e-2	380	215
marker_adelaide	marker	226	2	0.000216	58.87	0.26	5.037852e-2	319	169
marker_ahmedabad	marker	226	2	0.001238	58.87	0.26	5.037852e-2	265	115
marker_alameda	marker	226	2	0.001406	58.87	0.26	5.037852e-2	259	110
marker_allee	marker	226	2	0.003171	58.87	0.26	5.037852e-2	229	82
marker_all_e	marker	226	2	0.008387	58.87	0.26	5.037852e-2	193	53
marker_amsterdam	marker	226	2	0.001273	58.87	0.26	5.037852e-2	264	114
marker_anderlecht	marker	226	2	0.000176	58.87	0.26	5.037852e-2	322	172
marker_antwerp	marker	226	2	0.002308	58.87	0.26	5.037852e-2	239	92
marker_antwerpen	marker	226	1	0.000000	58.87	0.26	5.037852e-2	381	216
marker_anvers	marker	226	2	0.000225	58.87	0.26	5.037852e-2	317	167
marker_avenida	marker	226	2	0.024664	58.87	0.26	5.037852e-2	131	24
marker_avenue	marker	226	2	0.042422	58.87	0.26	5.037852e-2	108	20
marker_bagh	marker	226	2	0.000931	58.87	0.26	5.037852e-2	278	128
marker_bangalore	marker	226	2	0.010928	58.87	0.26	5.037852e-2	177	41
marker_barcelona	marker	226	2	0.002062	58.87	0.26	5.037852e-2	242	95
marker_basel	marker	226	2	0.010801	58.87	0.26	5.037852e-2	178	42
marker_belfast	marker	226	1	0.000000	58.87	0.26	5.037852e-2	382	217
marker_belo_horizonte	marker	226	2	0.000187	58.87	0.26	5.037852e-2	321	171
marker_bengaluru	marker	226	2	0.006124	58.87	0.26	5.037852e-2	211	68
marker_berlin	marker	226	2	0.020324	58.87	0.26	5.037852e-2	142	28
marker_bern	marker	226	2	0.006812	58.87	0.26	5.037852e-2	205	62
marker_bilbao	marker	226	2	0.006161	58.87	0.26	5.037852e-2	210	67
marker_birmingham	marker	226	2	0.001581	58.87	0.26	5.037852e-2	253	105
marker_block	marker	226	2	0.003152	58.87	0.26	5.037852e-2	230	83
marker_bologna	marker	226	2	0.019814	58.87	0.26	5.037852e-2	146	29
marker_bordeaux	marker	226	2	0.000264	58.87	0.26	5.037852e-2	311	161
marker_boston	marker	226	2	0.000430	58.87	0.26	5.037852e-2	299	149
marker_boulevard	marker	226	2	0.007893	58.87	0.26	5.037852e-2	196	55
marker_brasilia	marker	226	1	0.000000	58.87	0.26	5.037852e-2	383	218
marker_bras_lia	marker	226	2	0.000091	58.87	0.26	5.037852e-2	338	186
marker_brisbane	marker	226	2	0.158072	58.87	0.26	5.037852e-2	34	5
marker_brussel	marker	226	2	0.000902	58.87	0.26	5.037852e-2	280	130
marker_brussels	marker	226	1	0.000000	58.87	0.26	5.037852e-2	384	219
marker_bruxelles	marker	226	2	0.000596	58.87	0.26	5.037852e-2	292	142
marker_calcutta	marker	226	2	0.000019	58.87	0.26	5.037852e-2	360	206
marker_calle	marker	226	2	0.115923	58.87	0.26	5.037852e-2	46	9
marker_canberra	marker	226	2	0.000076	58.87	0.26	5.037852e-2	341	189
marker_cardiff	marker	226	2	0.000625	58.87	0.26	5.037852e-2	288	138
marker_carrer	marker	226	2	0.054364	58.87	0.26	5.037852e-2	82	13
marker_carretera	marker	226	2	0.001875	58.87	0.26	5.037852e-2	247	99
marker_chaussee	marker	226	2	0.000612	58.87	0.26	5.037852e-2	290	140
marker_chauss_e	marker	226	2	0.008201	58.87	0.26	5.037852e-2	194	54
marker_chennai	marker	226	2	0.003229	58.87	0.26	5.037852e-2	227	80
marker_chicago	marker	226	2	0.001153	58.87	0.26	5.037852e-2	269	119
marker_close	marker	226	2	0.009616	58.87	0.26	5.037852e-2	187	48
marker_cologne	marker	226	2	0.000038	58.87	0.26	5.037852e-2	354	200
marker_colony	marker	226	2	0.007867	58.87	0.26	5.037852e-2	197	56
marker_corso	marker	226	2	0.004057	58.87	0.26	5.037852e-2	223	77
marker_court	marker	226	2	0.010787	58.87	0.26	5.037852e-2	179	43
marker_crescent	marker	226	2	0.013446	58.87	0.26	5.037852e-2	168	34
marker_curitiba	marker	226	2	0.000603	58.87	0.26	5.037852e-2	291	141
marker_darwin	marker	226	2	0.000092	58.87	0.26	5.037852e-2	337	185
marker_delhi	marker	226	2	0.002668	58.87	0.26	5.037852e-2	236	89
marker_den_haag	marker	226	1	0.000000	58.87	0.26	5.037852e-2	385	220
marker_differdange	marker	226	2	0.003990	58.87	0.26	5.037852e-2	224	78
marker_drive	marker	226	2	0.033561	58.87	0.26	5.037852e-2	118	21
marker_dudelange	marker	226	2	0.018313	58.87	0.26	5.037852e-2	150	30
marker_d_sseldorf	marker	226	2	0.001355	58.87	0.26	5.037852e-2	262	112
marker_edinburgh	marker	226	2	0.054089	58.87	0.26	5.037852e-2	83	14
marker_eindhoven	marker	226	2	0.000117	58.87	0.26	5.037852e-2	331	180
marker_esch_sur_alzette	marker	226	2	0.010775	58.87	0.26	5.037852e-2	180	44
marker_esplanade	marker	226	2	0.000266	58.87	0.26	5.037852e-2	308	158
marker_estrada	marker	226	2	0.001765	58.87	0.26	5.037852e-2	250	102
marker_firenze	marker	226	2	0.048064	58.87	0.26	5.037852e-2	94	18
marker_florence	marker	226	2	0.000161	58.87	0.26	5.037852e-2	326	175
marker_fortaleza	marker	226	2	0.001125	58.87	0.26	5.037852e-2	271	121
marker_frankfurt	marker	226	2	0.001564	58.87	0.26	5.037852e-2	254	106
marker_gali	marker	226	2	0.002028	58.87	0.26	5.037852e-2	243	96
marker_gasse	marker	226	2	0.062976	58.87	0.26	5.037852e-2	72	12
marker_geneva	marker	226	2	0.000035	58.87	0.26	5.037852e-2	356	202
marker_gent	marker	226	2	0.001348	58.87	0.26	5.037852e-2	263	113
marker_gen_ve	marker	226	2	0.003175	58.87	0.26	5.037852e-2	228	81
marker_ghent	marker	226	2	0.000047	58.87	0.26	5.037852e-2	349	195
marker_glasgow	marker	226	2	0.001960	58.87	0.26	5.037852e-2	245	98
marker_gold_coast	marker	226	2	0.000050	58.87	0.26	5.037852e-2	347	194
marker_gracht	marker	226	2	0.000572	58.87	0.26	5.037852e-2	294	144
marker_granada	marker	226	2	0.000660	58.87	0.26	5.037852e-2	285	135
marker_graz	marker	226	2	0.013221	58.87	0.26	5.037852e-2	170	36
marker_groningen	marker	226	2	0.000204	58.87	0.26	5.037852e-2	320	170
marker_hamburg	marker	226	2	0.005018	58.87	0.26	5.037852e-2	216	73
marker_high_street	marker	226	2	0.006295	58.87	0.26	5.037852e-2	207	64
marker_highway	marker	226	2	0.007781	58.87	0.26	5.037852e-2	200	58
marker_hobart	marker	226	2	0.000041	58.87	0.26	5.037852e-2	353	199
marker_houston	marker	226	2	0.000098	58.87	0.26	5.037852e-2	336	184
marker_hyderabad	marker	226	2	0.005115	58.87	0.26	5.037852e-2	214	71
marker_impasse	marker	226	2	0.008388	58.87	0.26	5.037852e-2	192	52
marker_innsbruck	marker	226	2	0.002640	58.87	0.26	5.037852e-2	237	90
marker_jaipur	marker	226	2	0.001020	58.87	0.26	5.037852e-2	274	124
marker_kolkata	marker	226	2	0.001158	58.87	0.26	5.037852e-2	268	118
marker_kyoto	marker	226	2	0.000165	58.87	0.26	5.037852e-2	324	174
marker_k_ln	marker	226	2	0.001039	58.87	0.26	5.037852e-2	273	123
marker_laan	marker	226	2	0.049263	58.87	0.26	5.037852e-2	89	16
marker_lane	marker	226	2	0.012299	58.87	0.26	5.037852e-2	174	38
marker_largo	marker	226	2	0.000627	58.87	0.26	5.037852e-2	287	137
marker_lausanne	marker	226	2	0.002139	58.87	0.26	5.037852e-2	240	93
marker_liege	marker	226	2	0.000105	58.87	0.26	5.037852e-2	334	182
marker_linz	marker	226	2	0.002744	58.87	0.26	5.037852e-2	235	88
marker_liverpool	marker	226	2	0.000411	58.87	0.26	5.037852e-2	301	151
marker_li_ge	marker	226	2	0.002015	58.87	0.26	5.037852e-2	244	97
marker_london	marker	226	2	0.023718	58.87	0.26	5.037852e-2	134	26
marker_los_angeles	marker	226	2	0.000061	58.87	0.26	5.037852e-2	343	191
marker_lucknow	marker	226	2	0.000403	58.87	0.26	5.037852e-2	302	152
marker_lugano	marker	226	2	0.000124	58.87	0.26	5.037852e-2	330	179
marker_luxembourg	marker	226	2	0.049080	58.87	0.26	5.037852e-2	92	17
marker_lyon	marker	226	2	0.000967	58.87	0.26	5.037852e-2	276	126
marker_l_tzebuerg	marker	226	2	0.000125	58.87	0.26	5.037852e-2	329	178
marker_macquarie	marker	226	2	0.000286	58.87	0.26	5.037852e-2	304	154
marker_madrid	marker	226	2	0.010546	58.87	0.26	5.037852e-2	181	45
marker_manaus	marker	226	2	0.000090	58.87	0.26	5.037852e-2	339	187
marker_manchester	marker	226	2	0.004883	58.87	0.26	5.037852e-2	217	74
